symbol,name,exchange,sector,industry,marketCap,country
ORCL.MX,ORACLE CORP,MEX,,,9634754592768.0,US
INTC.MX,INTEL CORP,MEX,,,9502154817536.0,US
007660.KS,ISUPETASYS,KSC,,,9396379713536.0,US
DGW.VN,DIGIWORLD CORP,VSE,,,9377552531456.0,US
TSEM.TA,TOWER SEMICONDUCTO,TLV,,,91613855744.0,US
CYBR.JK,ITSEC Asia Tbk.,JKT,,,8752393617408.0,US
064400.KS,LG CNS,KSC,,,8390323470336.0,US
TCS.NS,TATA CONSULTANCY SERV LT,NSI,,,8191349882880.0,US
TCS.BO,TATA CONSULTANCY SERVICES LTD.,BSE,,,8190626365440.0,US
CSCO.MX,CISCO SYSTEMS INC,MEX,,,8081876451328.0,US
6752.T,PANASONIC HOLDINGS CORP,JPX,,,7688099987456.0,US
058470.KQ,LEENO,KOE,,,7665455464448.0,US
NVDA.TO,NVIDIA CDR (CAD HEDGED),TOR,,,7111204405248.0,US
034220.KS,LG Display,KSC,,,7050000072704.0,US
6146.T,DISCO CORPORATION,JPX,,,7039185584128.0,US
MTDL.JK,Metrodata Electronics Tbk,JKT,,,6997823979520.0,US
353200.KS,DaeduckElectronics,KSC,,,6995389710336.0,US
009830.KS,HANWHA SOLUTIONS,KSC,,,7352456052736.0,US
377300.KS,kakaopay,KSC,,,6909958553600.0,US
ADI.BA,ANALOG DEVICES INC CEDEAR EACH ,BUE,,,6805565997056.0,US
VRSN.BA,VERISIGN CEDEAR EACH 6 REP 1 CO,BUE,,,6688499826688.0,US
6723.T,RENESAS ELECTRONICS CORP,JPX,,,6616733188096.0,US
000990.KS,DB HiTek,KSC,,,6580481818624.0,US
CMG.VN,CMC CORP,VSE,,,6449870143488.0,US
036930.KQ,JEL,KOE,,,6406287654912.0,US
LRCX.MX,LAM RESEARCH CORP,MEX,,,6332691251200.0,US
AMAT.MX,APPLIED MATERIALS INC,MEX,,,6043338801152.0,US
AAPL.TO,APPLE CDR (CAD HEDGED),TOR,,,5823859785728.0,US
HPQ.BA,HP INCORPORATION CEDEAR EACH 1 ,BUE,,,27782868369408.0,US
6762.T,TDK CORP,JPX,,,5681134960640.0,US
000500.KS,GAONCABLE,KSC,,,5599844630528.0,US
0R1I.IL,NVIDIA CORP NVIDIA ORD SHS,IOB,,,5599189794816.0,US
240810.KQ,WONIK IPS,KOE,,,5580807208960.0,US
6702.T,FUJITSU,JPX,,,5580781518848.0,US
NVDA,NVIDIA Corporation,NMS,,,5457368842240.0,US
039030.KQ,EO Technics,KOE,,,5445241012224.0,US
2308.TW,DELTA ELECTRONIC,TAI,,,5389902413824.0,US
6701.T,NEC CORP,JPX,,,5319307034624.0,US
2454.TW,MEDIATEK INC,TAI,,,5203319324672.0,US
AAPL.NE,APPLE CDR (CAD HEDGED),NEO,,,6266601603072.0,US
INFY.BO,INFOSYS LTD.,BSE,,,4526822129664.0,US
022100.KS,POSCO DX,KSC,,,5116418588672.0,US
NVMI.TA,NOVA LTD,TLV,,,50078797824.0,US
440110.KQ,FADU,KOE,,,4942100168704.0,US
TXN.MX,TEXAS INSTRUMENTS INC,MEX,,,4868996595712.0,US
NVDD.XC,NVIDIA Corp,CXE,,,4814257782784.0,US
NVD.DE,NVIDIA CORP.                  R,GER,,,4756910637056.0,US
1NVDA.MI,NVIDIA CORP,MIL,,,4754973392896.0,US
NVDA.VI,NVIDIA CORP,VIE,,,4754004508672.0,US
NVD.F,NVIDIA CORP.                  R,FRA,,,4698781777920.0,US
MSTR.BA,STRATEGY INC CEDEAR EACH 20 REP,BUE,,,4642992816128.0,US
095340.KQ,ISC,KOE,,,4606470389760.0,US
NVDG.F,NVIDIA Corp.                  R,FRA,,,4576587022336.0,US
INFY.NS,INFOSYS LIMITED,NSI,,,4528601563136.0,US
0R2V.L,APPLE INC APPLE ORD,LSE,,,4521195470848.0,US
AAPL.SN,APPLE INC,SGO,,,4438518923264.0,US
AAPL,Apple Inc.,NMS,,,4409585041408.0,US
MSTI.JK,Mastersystem Infotama Tbk.,JKT,,,4379485667328.0,US
4062.T,IBIDEN CO LTD,JPX,,,4372985020416.0,US
NVDA.SW,NVIDIA CORP,EBS,,,4355092381696.0,US
108490.KQ,ROBOTIS,KOE,,,4291495723008.0,US
178320.KQ,SEOJIN SYSTEM,KOE,,,4259709190144.0,US
KLAC.MX,KLA CORPORATION,MEX,,,4143504949248.0,US
MUTC34.SA,MICRON TECHNDRN,SAO,,,4127438667776.0,US
MSFT.TO,MICROSOFT CDR (CAD HEDGED),TOR,,,4124497936384.0,US
009835.KS,HANWHA SOLUTIONS(1P),KSC,,,4282896089088.0,US
IRSX.JK,Folago Global Nusantara Tbk.,JKT,,,3962150322176.0,US
ARMN.MX,ARM HOLDINGS PLC,MEX,,,3884658982912.0,US
5016.T,JX ADVANCED METALS CORPORATION,JPX,,,3866575765504.0,US
MSFT.NE,MICROSOFT CDR (CAD HEDGED),NEO,,,4370439602176.0,US
AAPL.VI,APPLE INC,VIE,,,3823118581760.0,US
1AAPL.MI,APPLE,MIL,,,3816509407232.0,US
APC.DE,Apple Inc.                    R,GER,,,3816509407232.0,US
APC.F,Apple Inc.                    R,FRA,,,3806962909184.0,US
QCOM.MX,QUALCOMM INC,MEX,,,3741700063232.0,US
APCD.XC,Apple Inc,CXE,,,3726807662592.0,US
APC8.F,Apple Inc.                    R,FRA,,,3698123603968.0,US
7751.T,CANON INC,JPX,,,3653483364352.0,US
NVDA.NE,NVIDIA CDR (CAD HEDGED),NEO,,,7609486671872.0,US
SNDK1.MX,SANDISK CORP,MEX,,,3641900269568.0,US
IBM.MX,INTERNATIONAL BUS MACH CORP,MEX,,,3572504199168.0,US
ADI.MX,ANALOG DEVICES INC,MEX,,,3520552501248.0,US
067310.KQ,Hana Micron,KOE,,,3505785929728.0,US
A1MD34.SA,ADVANCED MICDRN,SAO,,,3489485291520.0,US
2317.TW,HON HAI PRECISION INDUSTRY,TAI,,,3469740605440.0,US
6920.T,LASERTEC CORP,JPX,,,3442714083328.0,US
222800.KQ,SIMMTECH,KOE,,,3437771620352.0,US
131970.KQ,DOOSAN TESNA,KOE,,,3420610887680.0,US
064760.KQ,TCK,KOE,,,3417830064128.0,US
PANW.MX,PALO ALTO NETWORKS INC,MEX,,,3406305427456.0,US
SAPN.MX,SAP SE,MEX,,,3403364433920.0,US
012510.KS,DOUZONE BIZON,KSC,,,3364885102592.0,US
ADBE.BA,ADOBE INC CEDEAR EACH 44 REP 1,BUE,,,3360923058176.0,US
XIAOMI80.BK,XIAOMI80_DR XIAOMI#KTB,SET,,,3305175515136.0,US
010170.KQ,TaihanFiberoptics,KOE,,,3168074465280.0,US
MSFT.SN,MICROSOFT CORP,SGO,,,3161764921344.0,US
ANET.MX,ARISTA NETWORKS INC,MEX,,,3147923456000.0,US
0QYP.L,MICROSOFT CORP MICROSOFT ORD,LSE,,,3142412140544.0,US
MSFT,Microsoft Corporation,NMS,,,3134205460480.0,US
XYZ.BA,BLOCK INC CEDEAR EACH 20 REPR 1,BUE,,,3088989290496.0,US
MIRG.BA,MIRGOR S.A.COMERC INDUST FINANC,BUE,,,3083419254784.0,US
STXN.MX,SEAGATE TECHNOLOGY HOLDINGS PLC,MEX,,,3076562878464.0,US
HCLTECH.BO,HCL TECHNOLOGIES LTD.,BSE,,,3064692473856.0,US
HCLTECH.NS,HCL TECHNOLOGIES LTD,NSI,,,3064421941248.0,US
MCRN.WA,MICRONTEC,WSE,,,3011049947136.0,US
4333.HK,CISCO-T,HKG,,,2962419875840.0,US
ASML34.SA,ASML HOLD   DRN,SAO,,,2957964738560.0,US
AVGO.MX,BROADCOM INC,MEX,,,,US
319660.KQ,PSK,KOE,,,2937224691712.0,US
GLW.MX,CORNING INC,MEX,,,2883136782336.0,US
043260.KQ,SUNGHO,KOE,,,2883012788224.0,US
WDC.MX,WESTERN DIGITAL CORP,MEX,,,2878840504320.0,US
ORCL34.SA,ORACLE      DRN,SAO,,,2802936709120.0,US
080220.KQ,JSC,KOE,,,2772119584768.0,US
ITLC34.SA,INTEL       DRN,SAO,,,2738466324480.0,US
DELLC.MX,DELL TECHNOLOGIES INC,MEX,,,2730194632704.0,US
MSFT.VI,MICROSOFT CORP,VIE,,,2704693264384.0,US
MRVL1.MX,MARVELL TECHNOLOGY INC,MEX,,,2707096600576.0,US
SNOW.BA,SNOWFLAKE INC CEDEAR EACH 30 RE,BUE,,,2703373893632.0,US
MSF.DE,MICROSOFT CORP.               R,GER,,,2698750197760.0,US
1MSFT.MI,MICROSOFT CORP,MIL,,,2698007543808.0,US
MSF.F,MICROSOFT CORP.               R,FRA,,,2696150515712.0,US
MSFD.XC,Microsoft Corp,CXE,,,2674170265600.0,US
APH.MX,AMPHENOL CORP,MEX,,,2670839201792.0,US
UBER.MX,UBER TECHNOLOGIES INC,MEX,,,2669627047936.0,US
084370.KQ,Eugenetech,KOE,,,2656133709824.0,US
CRWD.MX,CROWDSTRIKE HOLDINGS INC,MEX,,,2634453090304.0,US
QCOM.BA,QUALCOMM INC CEDEAR EACH 11 REP,BUE,,,2633083650048.0,US
031980.KQ,PSK HOLDINGS,KOE,,,2609050025984.0,US
007810.KS,KorCirc,KSC,,,2523522138112.0,US
4307.T,NOMURA RESEARCH INSTITUTE,JPX,,,2488320131072.0,US
CRM.MX,SALESFORCE INC,MEX,,,2476248662016.0,US
218410.KQ,RFHIC,KOE,,,2461706223616.0,US
MSF0.F,Microsoft Corp.               R,FRA,,,2431078367232.0,US
098460.KQ,Koh Young,KOE,,,2408287830016.0,US
3711.TW,ASE TECHNOLOGY HOLDING CO LTD,TAI,,,2400176832512.0,US
MSFT.SW,MICROSOFT CORP,EBS,,,2386236276736.0,US
CSCO34.SA,CISCO       DRN,SAO,,,2369935900672.0,US
KRO.JO,Karooooo Ltd,JNB,,,23304359936.0,US
SONYN.MX,SONY GROUP CORPORATION,MEX,,,2294395699200.0,US
CAMT.TA,CAMTEK,TLV,,,22929401856.0,US
SHOPN.MX,SHOPIFY INC,MEX,,,2261811986432.0,US
078600.KQ,DAEJOO,KOE,,,2240553680896.0,US
322000.KS,HD HYUNDAI ENERGY SOLUTIONS,KSC,,,2204159967232.0,US
ASML.WA,ASML,WSE,,,2196880621568.0,US
7735.T,SCREEN HOLDINGS CO LTD,JPX,,,2143310446592.0,US
0LCV.IL,TAIWAN SEMICONDUCTOR MANUFACTUR,IOB,,,2116055334912.0,US
AVGO.NE,BROADCOM CDR (CAD HEDGED),NEO,,,2783804653568.0,US
TSM,Taiwan Semiconductor Manufactur,NYQ,,,2097120935936.0,US
KEYN.MX,KEYENCE CORP,MEX,,,2093234388992.0,US
095610.KQ,TES,KOE,,,2071618781184.0,US
ACN.BA,ACCENTURE PLC CEDEAR EACH 75 RE,BUE,,,2056696496128.0,US
35320K.KS,DaeduckElectro(1P),KSC,,,2055346454528.0,US
ORCL.WA,ORACLE,WSE,,,2050620915712.0,US
IBM.BA,INTERNATIONAL BUS MACH CORP CED,BUE,,,2046130257920.0,US
AVGO,Broadcom Inc.,NMS,,,2013133668352.0,US
WIPRO.NS,WIPRO LTD,NSI,,,1992170668032.0,US
WIPRO.BO,WIPRO LTD.,BSE,,,1991646380032.0,US
131290.KQ,TSE,KOE,,,1957571854336.0,US
023590.KS,DaouTech,KSC,,,1881376948224.0,US
1810N.MX,XIAOMI CORPORATION,MEX,,,1858902949888.0,US
BYI.JO,Bytes Technology Grp plc,JNB,,,18401411072.0,US
140860.KQ,Park Systems,KOE,,,1838817214464.0,US
DTC.JO,Datatec Ltd,JNB,,,18297057280.0,US
INTU.MX,INTUIT INC,MEX,,,1854977212416.0,US
TSFA.VI,TAIWAN SEMICONDUCTOR-SP ADR,VIE,,,1817833242624.0,US
SHOP.BA,SHOPIFY INC CEDEAR EACH 107 REP,BUE,,,1812823539712.0,US
TSFA.F,TAIWAN SEMICONDUCT.MANUFACT.COR,FRA,,,1810053726208.0,US
L1RC34.SA,LAM RESEARCHDRN,SAO,,,1809226137600.0,US
089030.KQ,Techwing,KOE,,,1801319743488.0,US
ACNN.MX,ACCENTURE PLC,MEX,,,1798228148224.0,US
A1MT34.SA,APPLIED MATEDRN,SAO,,,1770384916480.0,US
1YD.F,Broadcom Inc.                 R,FRA,,,1754668072960.0,US
361610.KS,SK ie technology,KSC,,,1750243999744.0,US
4684.T,OBIC CO LTD,JPX,,,1744447995904.0,US
1YD.DE,Broadcom Inc.                 R,GER,,,1737149775872.0,US
BROA.VI,BROADCOM INC,VIE,,,1737149775872.0,US
1AVGO.MI,BROADCOM,MIL,,,1736913059840.0,US
